game,seed,player,profile,score,animals,animal_ids,area_bonus,width,height,density
36,20260745,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
36,20260745,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
37,20260746,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
37,20260746,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
38,20260747,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
38,20260747,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
39,20260748,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
39,20260748,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,4,4,1.0
40,20260749,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
40,20260749,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
41,20260750,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
41,20260750,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
42,20260751,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
42,20260751,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
43,20260752,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
43,20260752,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
44,20260753,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
44,20260753,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
45,20260754,Spelare A,balanced,25,5,"baver,fiskgjuse,groda,radjur,trana",2,3,6,0.8889
45,20260754,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
46,20260755,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
46,20260755,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
47,20260756,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
47,20260756,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
48,20260757,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
48,20260757,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
49,20260758,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
49,20260758,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
50,20260759,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,3,0.8889
50,20260759,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
51,20260760,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,5,0.8
51,20260760,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
52,20260761,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
52,20260761,Spelare B,balanced,24,5,"fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
53,20260762,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
53,20260762,Spelare B,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,5,4,0.8
54,20260763,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
54,20260763,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
55,20260764,Spelare A,balanced,27,5,"baver,fiskgjuse,lo,radjur,trana",1,3,6,0.8889
55,20260764,Spelare B,balanced,24,5,"baver,fiskgjuse,groda,radjur,trana",1,3,6,0.8889
56,20260765,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
56,20260765,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
57,20260766,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,5,0.8
57,20260766,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
58,20260767,Spelare A,balanced,19,4,"fiskgjuse,groda,radjur,trana",0,6,3,0.8889
58,20260767,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
59,20260768,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
59,20260768,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
60,20260769,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
60,20260769,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,5,0.5333
61,20260770,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
61,20260770,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
62,20260771,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
62,20260771,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
63,20260772,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
63,20260772,Spelare B,balanced,27,5,"baver,fiskgjuse,lo,radjur,trana",1,3,6,0.8889
64,20260773,Spelare A,balanced,31,6,"baver,fiskgjuse,groda,lo,radjur,trana",3,6,3,0.8889
64,20260773,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
65,20260774,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
65,20260774,Spelare B,balanced,23,5,"baver,fiskgjuse,groda,radjur,trana",0,3,6,0.8889
66,20260775,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
66,20260775,Spelare B,balanced,24,5,"baver,fiskgjuse,groda,radjur,trana",1,3,6,0.8889
67,20260776,Spelare A,balanced,24,5,"baver,fiskgjuse,groda,radjur,trana",1,4,4,1.0
67,20260776,Spelare B,balanced,25,5,"fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
68,20260777,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
68,20260777,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
69,20260778,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,7,0.7619
69,20260778,Spelare B,balanced,23,5,"baver,groda,lo,radjur,trana",1,2,8,1.0
70,20260779,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
70,20260779,Spelare B,balanced,25,5,"fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
71,20260780,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
71,20260780,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
72,20260781,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
72,20260781,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,5,0.8
73,20260782,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,5,0.8
73,20260782,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
74,20260783,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
74,20260783,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
75,20260784,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
75,20260784,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
76,20260785,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
76,20260785,Spelare B,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,4,0.6667
77,20260786,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,6,0.5333
77,20260786,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
78,20260787,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
78,20260787,Spelare B,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,3,0.8889
79,20260788,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
79,20260788,Spelare B,balanced,20,4,"baver,fiskgjuse,lo,radjur",0,6,3,0.8889
80,20260789,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
80,20260789,Spelare B,balanced,28,5,"baver,fiskgjuse,lo,radjur,trana",2,4,5,0.8
81,20260790,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
81,20260790,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
82,20260791,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
82,20260791,Spelare B,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,6,0.8889
83,20260792,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,6,0.8889
83,20260792,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
84,20260793,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
84,20260793,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
85,20260794,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
85,20260794,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
86,20260795,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,4,6,0.6667
86,20260795,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
87,20260796,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
87,20260796,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
88,20260797,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
88,20260797,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
89,20260798,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
89,20260798,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,5,0.8
90,20260799,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
90,20260799,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
91,20260800,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
91,20260800,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
92,20260801,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,4,6,0.6667
92,20260801,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
93,20260802,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
93,20260802,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
94,20260803,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
94,20260803,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
95,20260804,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
95,20260804,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,4,0.6667
96,20260805,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
96,20260805,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
97,20260806,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
97,20260806,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
98,20260807,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
98,20260807,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
99,20260808,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
99,20260808,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
100,20260809,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,3,0.8889
100,20260809,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
101,20260810,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
101,20260810,Spelare B,balanced,28,5,"baver,fiskgjuse,lo,radjur,trana",2,6,4,0.6667
102,20260811,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
102,20260811,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
103,20260812,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
103,20260812,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
104,20260813,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
104,20260813,Spelare B,balanced,24,4,"fiskgjuse,lo,radjur,trana",2,6,3,0.8889
105,20260814,Spelare A,balanced,25,5,"baver,fiskgjuse,groda,radjur,trana",2,4,6,0.6667
105,20260814,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,4,0.6667
106,20260815,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
106,20260815,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
107,20260816,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
107,20260816,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,4,7,0.5714
108,20260817,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
108,20260817,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
109,20260818,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,5,4,0.8
109,20260818,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
110,20260819,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
110,20260819,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
111,20260820,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
111,20260820,Spelare B,balanced,23,5,"baver,fiskgjuse,groda,radjur,trana",0,6,3,0.8889
112,20260821,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
112,20260821,Spelare B,balanced,25,5,"fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
113,20260822,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
113,20260822,Spelare B,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,3,0.8889
114,20260823,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
114,20260823,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
115,20260824,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
115,20260824,Spelare B,balanced,27,5,"baver,fiskgjuse,lo,radjur,trana",1,6,3,0.8889
116,20260825,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
116,20260825,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
117,20260826,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
117,20260826,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
118,20260827,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
118,20260827,Spelare B,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,4,0.6667
119,20260828,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
119,20260828,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
120,20260829,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
120,20260829,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,5,4,0.8
121,20260830,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
121,20260830,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
122,20260831,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,3,0.8889
122,20260831,Spelare B,balanced,28,5,"baver,fiskgjuse,lo,radjur,trana",2,6,4,0.6667
123,20260832,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
123,20260832,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,4,6,0.6667
124,20260833,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
124,20260833,Spelare B,balanced,26,5,"baver,fiskgjuse,lo,radjur,trana",0,6,4,0.6667
125,20260834,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,6,0.8889
125,20260834,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
126,20260835,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,5,0.8
